"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 23 07:31:30 MSK 2020","Mon Nov 23 07:31:35 MSK 2020","4774","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisReload","[13] Sequence number",""
"passed","Mon Nov 23 07:27:52 MSK 2020","Mon Nov 23 07:27:56 MSK 2020","4772","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisNameEqualAttName","[5] Size",""
"passed","Mon Nov 23 07:30:15 MSK 2020","Mon Nov 23 07:30:20 MSK 2020","4823","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisReload","[16] Price imp. (ticks)",""
"passed","Mon Nov 23 07:30:05 MSK 2020","Mon Nov 23 07:30:10 MSK 2020","5182","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisReload","[14] Db sequence number",""
"passed","Mon Nov 23 07:30:20 MSK 2020","Mon Nov 23 07:30:25 MSK 2020","4831","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisReload","[17] Price imp. (amount)",""
"passed","Mon Nov 23 07:29:45 MSK 2020","Mon Nov 23 07:29:50 MSK 2020","4885","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisReload","[10] Multiplier",""
"passed","Mon Nov 23 07:29:11 MSK 2020","Mon Nov 23 07:29:16 MSK 2020","5139","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_X_AxisReload","[3] Num of executions",""
"passed","Mon Nov 23 07:26:44 MSK 2020","Mon Nov 23 07:26:52 MSK 2020","7588","","academy.Tests.GridSortTest","","academy.Tests.GridSortTest","testColumnSort","[1] Type",""
"passed","Mon Nov 23 08:02:40 MSK 2020","Mon Nov 23 08:02:41 MSK 2020","996","","academy.Tests.SummaryApiTest","","academy.Tests.SummaryApiTest","testApiDataEqualsWebData","Hard Api Test","Hard Api Test"
"passed","Mon Nov 23 07:33:33 MSK 2020","Mon Nov 23 07:33:42 MSK 2020","9359","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisNameEqualAttNameAndNoGrid","[11] Tick size",""
"passed","Mon Nov 23 07:34:01 MSK 2020","Mon Nov 23 07:34:10 MSK 2020","9328","","academy.Tests.ScatterPlotTest","","academy.Tests.ScatterPlotTest","test_Y_AxisNameEqualAttNameAndNoGrid","[14] Db sequence number",""
"passed","Mon Nov 23 07:27:20 MSK 2020","Mon Nov 23 07:27:20 MSK 2020","219","","academy.Tests.HistogramTest","","academy.Tests.HistogramTest","testToolTipPresent","5 bar",""
